State,umd_tree_cover_loss__year,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg
Kuala Lumpur,2015,31.50,16883.05
Labuan,2015,79.37,44657.58
Malacca,2015,3120.45,1118219.42
Negeri Sembilan,2015,10458.94,4823305.19
Pahang,2015,62751.14,32339503.31
Perak,2015,23935.47,9301920.94
Perlis,2015,258.29,127986.16
Penang,2015,491.42,125644.79
Putrajaya,2015,25.82,4845.43
Sabah,2015,106917.42,52112757.52
Sarawak,2015,156136.71,114295444.06
Selangor,2015,5913.73,2164876.65
Terengganu,2015,14745.32,8168079.00
Johor,2016,45063.94,18498462.08
Kedah,2016,14905.70,9556563.61
Kelantan,2016,27173.94,18578209.97
Kuala Lumpur,2016,43.48,22292.37
Labuan,2016,119.51,66189.71
Malacca,2016,5324.10,2276230.71
Negeri Sembilan,2016,16639.78,8179162.25
Pahang,2016,99966.77,57359924.33
Perak,2016,32983.12,12248396.90
Perlis,2016,714.38,246435.70
Penang,2016,726.23,184216.77
Putrajaya,2016,54.55,11997.14
Sabah,2016,113067.51,55073185.91
Sarawak,2016,178749.87,121652894.71
Selangor,2016,10237.56,4274550.34
Terengganu,2016,19782.68,11938458.84
Johor,2017,44063.89,17285650.80
Kedah,2017,16050.69,10205993.12
Kelantan,2017,20603.60,14265747.93
Kuala Lumpur,2017,103.40,56041.28
Labuan,2017,36.85,20046.95
Malacca,2017,4385.57,1879744.24
Negeri Sembilan,2017,13601.31,7178164.43
Pahang,2017,71776.83,40621267.45
Perak,2017,30468.48,10742736.30
Perlis,2017,556.08,181010.94
Penang,2017,641.33,142876.78
Putrajaya,2017,45.72,15121.91
Sabah,2017,88766.27,33649530.15
Sarawak,2017,164696.35,108701136.85
Selangor,2017,9572.41,3348972.43
Terengganu,2017,18130.43,8857005.77
Johor,2018,32737.31,12088311.91
Kedah,2018,13978.70,8444905.48
Kelantan,2018,23472.22,16560513.06
Kuala Lumpur,2018,62.45,36881.36
Labuan,2018,28.12,16454.07
Malacca,2018,3933.12,1777828.10
Negeri Sembilan,2018,10539.54,5991855.54
Pahang,2018,59869.94,31696830.02
Perak,2018,22952.98,8141619.52
Perlis,2018,393.59,111689.49
Penang,2018,457.13,90992.09
Putrajaya,2018,40.49,14695.76
Sabah,2018,92708.40,30580920.11
Sarawak,2018,151382.98,97401307.55
Selangor,2018,9035.98,3529641.69
Terengganu,2018,16416.49,7782984.17
Johor,2019,30412.51,11760761.12
Kedah,2019,11719.82,6919337.00
Kelantan,2019,26951.98,18999395.26
Kuala Lumpur,2019,29.27,16609.52
Labuan,2019,21.68,10371.09
Malacca,2019,3816.80,1891023.81
Negeri Sembilan,2019,9672.26,4616129.33
Pahang,2019,56670.88,30179695.43
Perak,2019,22414.06,8047999.10
Perlis,2019,1151.03,126080.29
Penang,2019,462.80,91326.89
Putrajaya,2019,54.71,9999.06
Sabah,2019,90613.10,26351408.88
Sarawak,2019,118413.72,78672412.57
Selangor,2019,8603.58,3080506.59
Terengganu,2019,14396.38,7498913.96
Johor,2020,22594.27,8112073.37
Kedah,2020,8724.83,5063259.74
Kelantan,2020,15747.66,10838338.29
Kuala Lumpur,2020,11.29,6370.96
Labuan,2020,32.71,16957.71
Malacca,2020,2812.35,1053513.31
Negeri Sembilan,2020,6490.96,3289974.33
Pahang,2020,40947.84,22732088.12
Perak,2020,15674.81,6395877.53
Perlis,2020,704.25,163643.44
Penang,2020,449.68,81142.18
Putrajaya,2020,23.97,7262.41
Sabah,2020,68313.24,20588669.42
Sarawak,2020,72370.45,46072993.90
Selangor,2020,4700.13,1833967.68
Terengganu,2020,9176.60,4631744.80
Johor,2021,21402.77,8027365.69
Kedah,2021,7429.73,4338234.42
Kelantan,2021,18511.51,13122390.76
Kuala Lumpur,2021,14.60,11036.13
Labuan,2021,28.73,16950.49
Malacca,2021,2756.16,950612.49
Negeri Sembilan,2021,6086.21,3629762.32
Pahang,2021,43939.60,23310336.71
Perak,2021,19237.55,7642216.28
Perlis,2021,217.18,98411.66
Penang,2021,481.02,93898.72
Putrajaya,2021,31.35,13191.67
Sabah,2021,66593.19,21216908.52
Sarawak,2021,72720.55,45281369.37
Selangor,2021,7672.51,2922720.22
Terengganu,2021,10474.65,4962303.46
Johor,2022,15783.01,6131827.55
Kedah,2022,5634.21,3374196.26
Kelantan,2022,16883.83,12302190.72
Kuala Lumpur,2022,8.22,6338.24
Labuan,2022,37.54,22651.47
Malacca,2022,1695.06,802927.10
Negeri Sembilan,2022,5008.24,2684963.08
Pahang,2022,34213.74,16061463.95
Perak,2022,13018.48,5352542.47
Perlis,2022,190.03,135173.72
Penang,2022,280.32,76759.96
Putrajaya,2022,14.91,6169.64
Sabah,2022,64220.84,20029289.06
Sarawak,2022,75323.40,46733833.20
Selangor,2022,3865.53,1468167.46
Terengganu,2022,11949.76,6257096.71
Johor,2023,24700.85,9172151.54
Kedah,2023,7387.76,4419718.21
Kelantan,2023,22405.90,15998498.60
Kuala Lumpur,2023,12.29,9305.94
Labuan,2023,36.16,22167.75
Malacca,2023,1988.00,851734.35
Negeri Sembilan,2023,5853.85,3074966.55
Pahang,2023,44907.27,19893183.71
Perak,2023,17571.76,6889724.98
Perlis,2023,217.77,253112.16
Penang,2023,895.07,109904.36
Putrajaya,2023,22.44,9753.25
Sabah,2023,81566.64,24725224.84
Sarawak,2023,85124.47,52600046.79
Selangor,2023,5656.69,2196869.26
Terengganu,2023,10308.62,6290783.88
Johor,2024,19268.09,7699124.91
Kedah,2024,6900.53,4730147.65
Kelantan,2024,19724.69,14282064.83
Kuala Lumpur,2024,15.44,10499.73
Labuan,2024,19.38,11935.50
Malacca,2024,2102.78,920733.64
Negeri Sembilan,2024,5846.59,3304434.01
Pahang,2024,38447.90,18216265.61
Perak,2024,14915.04,5625054.05
Perlis,2024,267.08,181771.29
Penang,2024,385.25,81699.52
Putrajaya,2024,18.06,5955.80
Sabah,2024,75671.41,23011257.11
Sarawak,2024,79341.31,47489861.24
Selangor,2024,4768.75,2048515.38
Terengganu,2024,14841.28,8014406.85
Johor,2025,19540.05,7867902.75
Kedah,2025,6671.60,4447451.14
Kelantan,2025,17487.72,12922206.55
Kuala Lumpur,2025,19.28,13235.19
Labuan,2025,29.88,18581.60
Malacca,2025,1988.26,801168.43
Negeri Sembilan,2025,5488.05,3129793.62
Pahang,2025,33968.51,15416187.27
Perak,2025,14637.65,6332372.30
Perlis,2025,193.32,114647.11
Penang,2025,472.36,115232.15
Putrajaya,2025,17.60,10917.23
Sabah,2025,62369.41,19439796.61
Sarawak,2025,85875.70,49618244.03
Selangor,2025,4527.57,2240283.87
Terengganu,2025,9966.97,5373556.91
