"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"MYS",13,2016,113067.50847853917469667,55073185.913874728262520
"MYS",14,2016,178749.86513084575736658,121652894.714255230181736
"MYS",15,2016,10237.56477233575325234,4274550.341069391252874
"MYS",16,2016,19782.68066233723454442,11938458.837191490931884
"MYS",1,2017,44063.88983607782398051,17285650.797235632470895
"MYS",2,2017,16050.68710006775905012,10205993.121154348893493
"MYS",3,2017,20603.60253394355874494,14265747.932054983730005
"MYS",4,2017,103.40464433306683224,56041.28394766455480
"MYS",5,2017,36.84957944092746243,20046.946198010840855
"MYS",6,2017,4385.56782865056657204,1879744.244639046370470
"MYS",7,2017,13601.30829349730114046,7178164.428081481472350
"MYS",8,2017,71776.82826992197097725,40621267.447111747644440
"MYS",9,2017,30468.47522369577879587,10742736.298112781455817
"MYS",10,2017,556.08167870995900414,181010.944663016251709
"MYS",11,2017,641.33120654557787103,142876.775285273499276
"MYS",12,2017,45.71767076382163774,15121.91137953716642
"MYS",13,2017,88766.27146909668162526,33649530.147272645247010
"MYS",14,2017,164696.34650870754474789,108701136.854778406413848
"MYS",15,2017,9572.41278817860723477,3348972.426124538318517
"MYS",16,2017,18130.43323452251619578,8857005.765811982047230
"MYS",1,2018,32737.30659311970258140,12088311.907432584844985
"MYS",2,2018,13978.70325158867701975,8444905.482343084176034
"MYS",3,2018,23472.21729733601734771,16560513.055802297752561
"MYS",4,2018,62.45405771978160899,36881.358415087630176
"MYS",5,2018,28.11623175208851560,16454.067697859837883
"MYS",6,2018,3933.12316869068523121,1777828.101345629346156
"MYS",7,2018,10539.54453539717296383,5991855.541389222956460
"MYS",8,2018,59869.94173717098651133,31696830.015292355266340
"MYS",9,2018,22952.98163734151266589,8141619.520581363835274
"MYS",10,2018,393.58760189147885241,111689.48570727992032
"MYS",11,2018,457.13316456140832352,90992.094069826290800
"MYS",12,2018,40.49251857307291635,14695.75613449633245
"MYS",13,2018,92708.40219894680507123,30580920.112395203755997
"MYS",14,2018,151382.97561225992225825,97401307.545808253486302
"MYS",15,2018,9035.98048779833185610,3529641.694329871430702
"MYS",16,2018,16416.49496837218249765,7782984.171026709779765
"MYS",1,2019,30412.50761780297567483,11760761.118072473928623
"MYS",2,2019,11719.82116161896389216,6919336.998687085985744
"MYS",3,2019,26951.98050019889109744,18999395.262029403395259
"MYS",4,2019,29.26850044081417848,16609.52340921719736
"MYS",5,2019,21.68029089622423554,10371.091054770377292
"MYS",6,2019,3816.80041423291092764,1891023.81003179174713
"MYS",7,2019,9672.25884257425187648,4616129.325097228683056
"MYS",8,2019,56670.88455836144351090,30179695.434273235113579
"MYS",9,2019,22414.05870101077060242,8047999.097268948856608
"MYS",10,2019,1151.02559010493932110,126080.290629796929376
"MYS",11,2019,462.80259615890580868,91326.887541033722277
"MYS",12,2019,54.70756313453179816,9999.06329266579398
"MYS",13,2019,90613.10267983836118231,26351408.878469260429131
"MYS",14,2019,118413.71766884628445239,78672412.573888943167343
"MYS",15,2019,8603.58287722500288607,3080506.593730680869666
"MYS",16,2019,14396.38475226588189846,7498913.960164495008936
"MYS",1,2020,22594.26646744188131016,8112073.366096331522636
"MYS",2,2020,8724.83475462656873510,5063259.744379969545036
"MYS",3,2020,15747.65543547837980924,10838338.28681173824496
"MYS",4,2020,11.29274196209120729,6370.955296230854454
"MYS",5,2020,32.71184727352837664,16957.705297038314626
"MYS",6,2020,2812.35394988990179544,1053513.305747086866250
"MYS",7,2020,6490.96147888075965150,3289974.326185207280728
"MYS",8,2020,40947.84261575392551302,22732088.121306669309245
"MYS",9,2020,15674.81409107637980409,6395877.533277798413050
"MYS",10,2020,704.24784079935977953,163643.444759970273131
"MYS",11,2020,449.67944120745790389,81142.179344916945505
"MYS",12,2020,23.9729467053384110,7262.41447870248879
"MYS",13,2020,68313.24295094878085020,20588669.4166549540334925
"MYS",14,2020,72370.44505905096849445,46072993.903158222430381
"MYS",15,2020,4700.12524504388051887,1833967.684027708503610
"MYS",16,2020,9176.60146952141351997,4631744.801080455357278
"MYS",1,2021,21402.76565149725173233,8027365.685706325276110
"MYS",2,2021,7429.73128948692926496,4338234.424919203126367
"MYS",3,2021,18511.51119396474423922,13122390.760353748449902
"MYS",4,2021,14.59556141800483294,11036.12943632416138
"MYS",5,2021,28.72860548692899481,16950.48697289473002
"MYS",6,2021,2756.16328335717771048,950612.492873005880651
"MYS",7,2021,6086.21133282087267438,3629762.316094563863268
"MYS",8,2021,43939.60082941073564744,23310336.714019040416532
"MYS",9,2021,19237.54995238360880183,7642216.275926688215581
"MYS",10,2021,217.17618676837517851,98411.664625993980954
"MYS",11,2021,481.01892834356637136,93898.720086025585518
"MYS",12,2021,31.34938308583972173,13191.66715177866745
"MYS",13,2021,66593.19410211901746948,21216908.520435416075285
"MYS",14,2021,72720.55352374373940792,45281369.369865801335732
"MYS",15,2021,7672.51270884143993251,2922720.218335497926586
"MYS",16,2021,10474.65197078036906742,4962303.463223157975118
"MYS",1,2022,15783.00910100589701906,6131827.546044108542978
