Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Gibraltar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
Guinea,29.61093928,29.46972163,29.32850399,29.18728634,29.0460687,28.90485105,28.7636334,28.62241576,28.48119811,28.33998047,28.19876282,28.0522546,27.90574638,27.75923816,27.61272994,27.46622172,27.3197135,27.17320527,27.02669705,26.88018883,26.73368061,26.58717239,26.44066417,26.29415595,26.14764773,26.00113951,25.8383526,25.67556568,25.51277877,25.34999186,25.18720495,25.02441804,24.86163112,24.69884421,,
"Gambia, The",40.9743083,40.40780632,39.84130435,39.27480237,38.7083004,38.14179842,37.57529644,37.00879447,36.44229249,35.87579051,35.30928854,34.74278656,34.17628458,33.60978261,33.04328063,32.47677866,31.91027668,31.3437747,30.77727273,30.21077075,29.64426877,29.07786561,28.51146245,27.94505929,27.37865613,26.81225296,26.24505929,25.67885375,25.11264822,24.54545455,23.97924901,23.41238142,22.8459585,22.27923913,,
Guinea-Bissau,79.42140825,79.12108819,78.82076814,78.52044808,78.22012802,77.91980797,77.61948791,77.31916785,77.0188478,76.71852774,76.41820768,76.11788762,75.81756757,75.51724751,75.21692745,74.9166074,74.61628734,74.31596728,74.01564723,73.71532717,73.41500711,73.11472262,72.81443812,72.51415363,72.21386913,71.91358464,71.61344239,71.31330014,71.01315789,70.71301565,70.4128734,70.11273115,69.8125889,69.51244666,,
Equatorial Guinea,96.22638146,95.9284492,95.63051693,95.33258467,95.03465241,94.73672014,94.43878788,94.14085561,93.84292335,93.54499109,93.24705882,92.94912656,92.6511943,92.35326203,92.05532977,91.7573975,91.45946524,91.16153298,90.86360071,90.56566845,90.26773619,89.96976827,89.67180036,89.37383244,89.07586453,88.77789661,88.4798574,88.18181818,87.88377897,87.58573975,87.28770053,86.98966132,86.6916221,86.39358289,,
Greece,25.59,25.82404112,26.05808146,26.29212258,26.52616292,26.76020403,26.99424515,27.22828549,27.46232661,27.69636695,27.93040807,28.16436695,28.39832661,28.63228549,28.86624515,29.10020403,29.33416292,29.56812258,29.80208146,30.03604112,30.27,30.27,30.27,30.27,30.27,30.27,30.26997673,30.26997673,30.26997673,30.26997673,30.26997673,30.26997673,30.26997673,30.26997673,,
Grenada,52.05882353,52.05882353,52.05882353,52.05882353,52.05882353,52.05882353,52.05882353,52.05882353,52.05882353,52.05882353,52.05882353,52.05882353,52.05882353,52.05882353,52.05882353,52.05882353,52.05882353,52.05882353,52.05882353,52.05882353,52.05882353,52.05882353,52.05882353,52.05882353,52.05882353,52.05882353,52.05882353,52.05882353,52.05882353,52.05882353,52.05882353,52.05882353,52.05882353,52.05882353,,
Greenland,0.00064384,0.00064384,0.00064384,0.00064384,0.00064384,0.00064384,0.00064384,0.000535997,0.000535997,0.000535997,0.000535997,0.000535997,0.000535997,0.000535997,0.000535997,0.000535997,0.000535997,0.000535997,0.000535997,0.000535997,0.000535997,0.000535997,0.000535997,0.000535997,0.000535997,0.000535997,0.000535997,0.000535997,0.000535997,0.000535997,0.000535997,0.000535997,0.000535997,0.000535997,,
Guatemala,44.61739455,44.08361329,43.54983203,43.01605077,42.4822695,41.94848824,41.41470698,40.88092572,40.34714446,39.8133632,39.27958193,38.82549459,38.37140724,37.9173199,37.46323255,37.0091452,36.55505786,36.10097051,35.64688317,35.19279582,34.73870847,34.48338932,34.22807018,33.97275103,33.71743188,33.46211273,33.35386338,33.24561404,33.13736469,33.02911534,32.92086599,32.81261665,32.7043673,32.59611795,,
Guam,44.44444444,44.44444444,44.44444444,44.44444444,44.44444444,44.44444444,44.44444444,44.44444444,44.44444444,44.44444444,44.44444444,44.44444444,44.44444444,44.44444444,44.44444444,44.44444444,44.44444444,44.44444444,44.44444444,44.44444444,44.44444444,44.81481481,45.18518519,45.55555556,45.92592593,46.2962963,51.85185185,51.85185185,51.85185185,51.85185185,51.85185185,51.85185185,51.85185185,51.85185185,,
Guyana,94.499111,94.47984252,94.46057404,94.44130556,94.42203708,94.40276861,94.38350013,94.36423165,94.34496317,94.32569469,94.30642621,94.28386589,94.26130556,94.23874524,94.21618491,94.19362459,94.17106426,94.14850394,94.12594361,94.10338329,94.08082296,94.02143764,93.96205232,93.90266701,93.84328169,93.78389637,93.73716027,93.69037338,93.64363729,93.59685039,87.21862271,87.175018,87.13143459,87.08783698,,
High income,28.98626843,29.00601517,35.53250026,35.55029137,35.56726975,35.58299522,35.59697238,35.56308177,35.57495691,35.58369861,35.59160537,35.62019143,35.64842535,35.67584342,35.70362653,35.73148665,35.76222781,35.79002768,35.82875578,35.8558742,35.88269046,35.91043764,35.93826003,35.9653122,35.99304696,36.02141815,36.04182851,36.04610364,36.0510797,36.05684586,36.06358674,36.19272751,36.21148106,,,
"Hong Kong SAR, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,62.45222987,62.26498347,62.07773706,61.89049066,61.70324426,61.51599786,61.32875145,61.14150505,60.95425865,60.76701224,60.57976584,60.3985164,60.21726696,60.03601752,59.85476808,59.67351863,59.49226919,59.31101975,59.12977031,58.94852087,58.76727143,58.56771829,58.36816516,58.16861203,57.9690589,57.76950576,57.58378765,57.39663956,57.20940209,57.02216463,56.83492716,56.6476897,56.46045223,56.27321476,,
